Data;Open;High;Low;Close;Candle
01/10/2021 14:30;112745;112850;112705;112785;67
01/10/2021 14:25;112595;112820;112545;112750;66
01/10/2021 14:20;112385;112735;112380;112595;65
01/10/2021 14:15;112430;112455;112385;112385;64
01/10/2021 14:10;112455;112495;112395;112435;63
01/10/2021 14:05;112335;112470;112325;112455;62
01/10/2021 14:00;112290;112375;112220;112335;61
01/10/2021 13:55;112315;112360;112250;112290;60
01/10/2021 13:50;112300;112340;112250;112315;59
01/10/2021 13:45;112310;112400;112275;112295;58
01/10/2021 13:40;112240;112315;112195;112310;57
01/10/2021 13:35;112205;112290;112185;112235;56
01/10/2021 13:30;112310;112320;112160;112200;55
01/10/2021 13:25;112325;112350;112245;112310;54
01/10/2021 13:20;112140;112370;112135;112330;53
01/10/2021 13:15;112135;112190;112055;112140;52
01/10/2021 13:10;112170;112225;112120;112140;51
01/10/2021 13:05;112165;112245;112105;112170;50
01/10/2021 13:00;112210;112270;112140;112160;49
01/10/2021 12:55;112260;112290;112110;112215;48
01/10/2021 12:50;112180;112305;112135;112260;47
01/10/2021 12:45;112360;112425;112180;112180;46
01/10/2021 12:40;112185;112375;112150;112360;45
01/10/2021 12:35;112180;112215;112095;112185;44
01/10/2021 12:30;112045;112290;112030;112180;43
01/10/2021 12:25;112205;112265;112015;112045;42
01/10/2021 12:20;112065;112245;111970;112210;41
01/10/2021 12:15;112020;112100;111895;112065;40
01/10/2021 12:10;111765;112080;111650;112020;39
01/10/2021 12:05;111935;112005;111760;111770;38
01/10/2021 12:00;111790;112180;111775;111940;37
01/10/2021 11:55;111695;111920;111655;111790;36
01/10/2021 11:50;111675;111825;111650;111695;35
01/10/2021 11:45;111765;111770;111410;111675;34
01/10/2021 11:40;111960;112035;111755;111770;33
01/10/2021 11:35;111940;112130;111855;111960;32
01/10/2021 11:30;111760;111985;111680;111945;31
01/10/2021 11:25;111645;111880;111630;111770;30
01/10/2021 11:20;111785;111895;111600;111650;29
01/10/2021 11:15;112020;112040;111690;111790;28
01/10/2021 11:10;111995;112070;111935;112025;27
01/10/2021 11:05;111880;112115;111795;111995;26
01/10/2021 11:00;111790;112140;111765;111875;25
01/10/2021 10:55;111845;111915;111760;111795;24
01/10/2021 10:50;111825;111950;111745;111840;23
01/10/2021 10:45;111840;111925;111635;111820;22
01/10/2021 10:40;111770;111940;111700;111840;21
01/10/2021 10:35;111865;111965;111675;111765;20
01/10/2021 10:30;111815;111980;111755;111865;19
01/10/2021 10:25;111860;111880;111740;111815;18
01/10/2021 10:20;111765;111875;111660;111855;17
01/10/2021 10:15;111530;111850;111525;111765;16
01/10/2021 10:10;111385;111545;111325;111525;15
01/10/2021 10:05;111325;111490;111300;111380;14
01/10/2021 10:00;111295;111425;111205;111325;13
01/10/2021 09:55;111160;111335;111135;111290;12
01/10/2021 09:50;111075;111210;111020;111160;11
01/10/2021 09:45;111060;111085;110935;111070;10
01/10/2021 09:40;110975;111140;110935;111060;9
01/10/2021 09:35;111050;111075;110955;110970;8
01/10/2021 09:30;111240;111320;111035;111050;7
01/10/2021 09:25;111165;111270;111100;111240;6
01/10/2021 09:20;111285;111310;111160;111165;5
01/10/2021 09:15;111165;111345;111130;111285;4
01/10/2021 09:10;111095;111190;111000;111170;3
01/10/2021 09:05;111085;111155;110960;111095;2
01/10/2021 09:00;111050;111135;110930;111085;1
30/09/2021 17:50;110570;110700;110515;110690;107
30/09/2021 17:45;110540;110590;110460;110570;106
30/09/2021 17:40;110585;110620;110470;110535;105
30/09/2021 17:35;110620;110630;110500;110580;104
30/09/2021 17:30;110670;110685;110570;110615;103
30/09/2021 17:25;110775;110775;110625;110670;102
30/09/2021 17:20;110810;110920;110735;110775;101
30/09/2021 17:15;110780;110860;110765;110805;100
30/09/2021 17:10;110790;110830;110665;110775;99
30/09/2021 17:05;110815;110940;110750;110785;98
30/09/2021 17:00;110655;110850;110635;110815;97
30/09/2021 16:55;110850;110975;110640;110655;96
30/09/2021 16:50;111005;111020;110810;110855;95
30/09/2021 16:45;111340;111360;110920;111005;94
30/09/2021 16:40;111365;111405;111270;111345;93
30/09/2021 16:35;111545;111620;111355;111365;92
30/09/2021 16:30;111425;111625;111400;111545;91
30/09/2021 16:25;111455;111545;111405;111420;90
30/09/2021 16:20;111540;111580;111415;111455;89
30/09/2021 16:15;111525;111685;111435;111540;88
30/09/2021 16:10;111515;111605;111480;111520;87
30/09/2021 16:05;111395;111575;111305;111515;86
30/09/2021 16:00;111415;111480;111215;111400;85
30/09/2021 15:55;111490;111520;111335;111415;84
30/09/2021 15:50;111715;111795;111435;111485;83
30/09/2021 15:45;111520;111740;111500;111720;82
30/09/2021 15:40;111390;111580;111325;111525;81
30/09/2021 15:35;111540;111645;111385;111395;80
30/09/2021 15:30;111480;111565;111440;111540;79
30/09/2021 15:25;111420;111505;111280;111480;78
30/09/2021 15:20;111555;111605;111410;111420;77
30/09/2021 15:15;111745;111755;111535;111550;76
30/09/2021 15:10;111850;111915;111710;111745;75
30/09/2021 15:05;111650;111925;111610;111850;74
30/09/2021 15:00;111530;111745;111515;111645;73
30/09/2021 14:55;111600;111690;111465;111530;72
30/09/2021 14:50;111505;111620;111405;111605;71
30/09/2021 14:45;111415;111560;111325;111505;70
30/09/2021 14:40;111365;111430;111290;111410;69
30/09/2021 14:35;111315;111435;111215;111365;68
30/09/2021 14:30;111350;111400;111280;111320;67
30/09/2021 14:25;111500;111540;111330;111350;66
30/09/2021 14:20;111640;111655;111465;111500;65
30/09/2021 14:15;111725;111800;111425;111640;64
30/09/2021 14:10;111795;111825;111675;111725;63
30/09/2021 14:05;111595;111810;111530;111790;62
30/09/2021 14:00;111570;111675;111475;111590;61
30/09/2021 13:55;111605;111630;111520;111575;60
30/09/2021 13:50;111695;111735;111560;111605;59
30/09/2021 13:45;111380;111735;111280;111695;58
30/09/2021 13:40;111355;111475;111330;111380;57
30/09/2021 13:35;111205;111365;111120;111355;56
30/09/2021 13:30;111135;111225;111010;111200;55
30/09/2021 13:25;111200;111300;111090;111140;54
30/09/2021 13:20;111245;111375;111105;111200;53
30/09/2021 13:15;111230;111295;111090;111250;52
30/09/2021 13:10;111525;111580;111055;111230;51
30/09/2021 13:05;111825;111850;111475;111525;50
30/09/2021 13:00;111950;112075;111795;111830;49
30/09/2021 12:55;111730;111965;111690;111950;48
30/09/2021 12:50;111775;111880;111530;111730;47
